locus_id	gene_id	old_chromosome	old_start	old_end	new_chromosome	new_start	new_end	strand
citsweet6	CUN3Ku008700	Chr3	5238891	5241126	Chr3	694038	696235	+
citsus5	CUN6Ku151700	Chr6	21943453	21947579	Chr6	21311580	21315879	+
sps1	CUN1Ku207600	Chr1	27818445	27825648	Chr1	26527560	26534944	-
inva	CUN5Ku158300	Chr5	29206103	29210562	Chr5	27097093	27101705	-
citzat5	CUN8Ku176300	Chr8	33403475	33404438	Chr8	31616193	31617444	-
citph4	CUN2Ku004700	Chr2	373473	374766	Chr2	441549	442954	+
ph1	CUN7Ku071200	Chr7	31558539	31563573	Chr7	5527617	5532165	+
ph5	CUN7Ku104800	Chr7	33926663	33933581	Chr7	8086110	8093096	-
noemi	CUN3Ku328400	Chr3	44784979	44790257	Chr3	43562046	43567503	-
cs	CUN4Ku255900	Chr4	29381195	29387208	Chr4	30383849	30389940	-
aco	CUN2Ku135900	Chr2	30286238	30292671	Chr2	19011256	19019382	-
citlgt	CUN8Ku038500	Chr8	2497259	2499059	Chr8	2588173	2590163	-
dglct_cluster	CUN8Ku167100	Chr8	32357906	32372361	Chr8	30583665	30585194	+
cstps1	CUN3Ku125600	Chr3	11650850	11663004	Chr3	10336554	10339923	+
citmtse1	CUN5Ku050400	Chr5	12260007	12263396	Chr5	9144687	9148093	-
ruby1	CUN6Ku168700	Chr6	23023979	23024403	Chr6	22447415	22447843	+
ccd4b1	CUN4Ku150500	Chr4	21856934	21859155	Chr4	22807799	22810020	-
citkc1	CUN1Ku033800	Chr1	4377143	4383433	Chr1	3091866	3098180	-
gai	CUN1Ku063000	Chr1	6856232	6858376	Chr1	5569856	5572000	+
csubc24	CUN2Ku245100	Chr2	41282005	41286738	Chr2	28761777	28767811	-
citrkd1	CUN1Ku201700	Chr1	27456884	27459184	Chr1	26166014	26168319	+
citomt	CUN3Ku166100	Chr3	19933464	19937897	Chr3	18617187	18621637	+
